薬品名,薬価,原価,在庫量,単位,在庫原価額,在庫薬価額,回転数,処方量,処方原価額,処方薬価額,差益額,差益率,他出庫量,他出庫額,入庫量,入庫金額,棚１,棚２,棚３,レセコン医薬品No,レセプト電算コード,経過措置期限,剤型,発注先,毒薬フラグ,劇薬フラグ,麻薬フラグ,向精神薬フラグ,覚醒剤フラグ,覚醒剤原料フラグ,後発品フラグ,ＹＪコード,一般名称
ﾌﾟﾛﾍﾟｼｱ ｼﾞﾖｳ 1MG      PTP    1MG  14TX10,250.00,206.89,509.000, ,105307,127250,0.56,176.000,36413,44000,7587,17.24,140.000,28965,700.000,144825,I-2-1,薬庫,,ﾌﾛﾍ99,1        ,,内服,メディセオ,0,1,0,0,0,0,,,フィナステリド錠
モイゼルト軟膏１％ H28.000,150.40,133.69,784.000,Ｇ,104813,117914,-11.14,3708.000,495723,557683,61960,11.11,196.000,26262,6138.000,820744,k-13-,薬庫,,ﾓｲｾ021,622850001,,外用,ケーエスケー,0,0,0,0,0,0,0,2699715M2020,ジファミラスト軟膏
リベルサス錠７ｍｇ H,325.70,288.38,356.000,錠,102663,115949,29.55,4108.000,1184665,1337974,153309,11.46,106.000,30570,4248.000,1225109,A-2-5,薬庫,,ﾘﾍﾙ02,629911701,,内服,アルフレッサ,0,1,0,0,0,0,0,2499014F2028,セマグルチド（遺伝子組換え）錠
ムンデシンカプセル１００ｍｇ H,2666.10,2422.61,42.000,カプセル,101750,111976,,,,,,,,,,,中央ﾒﾃﾞｨｶﾙ,薬庫,,ﾑﾝﾃ01,622557001,,内服,,0,1,0,0,0,0,0,4291050M1027,フォロデシン塩酸塩カプセル
フォシーガ錠１０ｍｇ H,250.70,203.06,494.000,錠,100312,123846,24.94,7470.000,1516858,1872735,355877,19.00,137.000,29340,7700.000,1642372,A-5-4,薬庫,バラ,ﾌｵｼ02,622342001,,内服,ケーエスケー,0,0,0,0,0,0,0,3969019F2023,ダパグリフロジンプロピレングリコール水和物錠
エフィエント錠３．７５ｍｇ H,254.30,220.97,441.000,錠,97448,112146,13.65,5043.000,1114352,1282437,168085,13.11,258.000,48877,5803.000,1310962,B-5-3,薬庫,,ｴﾌｲ01,622336601,,内服,ケーエスケー,0,0,0,0,0,0,0,3399009F1020,プラスグレル塩酸塩錠
マイクロファインプラス ３２G×６ｍｍ,17.00,16.14,5796.000, 本,93547,98532,1.12,3248.000,52423,55216,2793,5.06,0.000,0,8400.000,135576,電話下,薬庫,,ｼﾝ019,710010093,,特定保険医療材料,,,,,,,,,,
レボレード錠１２．５ｍｇ H,2211.40,1900.00,49.000,錠,93100,108359,11.39,376.000,714400,831486,117086,14.08,12.000,26537,420.000,798000,c-3-,薬庫,,ﾚﾎﾚ01,622036501,,内服,ケーエスケー,0,1,0,0,0,0,0,3999028F1025,エルトロンボパグ　オラミン錠
エンレスト錠２００ｍｇ H,171.10,151.08,591.000,錠,89288,101120,25.32,13919.000,2102883,2381543,278660,11.70,1.000,152,14010.000,2116633,C-1-6,薬庫,バラ,ｴﾝﾚ03,622821101,,内服,スズケン,0,0,0,0,0,0,0,2190041F3020,サクビトリルバルサルタンナトリウム水和物錠
タケキャブ錠２０ｍｇ H,144.80,123.66,659.000,錠,81492,95423,9.44,6040.500,746968,874658,127690,14.60,435.000,54937,6700.000,855788,H-5-5,薬庫,,ﾀｹｷ02,622404501,,内服,メディセオ,0,0,0,0,0,0,0,2329030F2027,ボノプラザンフマル酸塩錠
インチュニブ錠３ｍｇ H,527.20,460.72,161.000,錠,74176,84879,0.47,150.000,69108,79080,9972,12.61,260.000,123587,100.000,46072,I-8-4,薬庫,,ｲﾝﾁ04,622546801,,内服,スズケン,0,1,0,0,0,0,0,1179057G2028,グアンファシン塩酸塩徐放錠
ビバンセカプセル３０ｍｇ H,731.40,655.17,112.000,カプセル,73379,81917,1.65,210.000,137586,153594,16008,10.42,0.000,0,210.000,137585,d-1-,薬庫,,ﾋﾊﾝ02,622677501,,内服,,0,1,0,0,0,1,0,1179059M2020,リスデキサンフェタミンメシル酸塩カプセル
サムチレール内用懸濁液１５％　７５０ｍｇ５ｍＬ H,1471.10,1337.29,54.000,包,72214,79439,-42.86,900.000,1203561,1323993,120432,9.10,0.000,0,980.000,1310540,N- -,薬庫,,ｻﾑﾁ01,622136101,,内服,スズケン,0,0,0,0,0,0,0,6290006S1027,アトバコン液
ラグノスＮＦ経口ゼリー分包１２ｇ　５４．１６７％ H,49.40,43.43,1650.000,包,71660,81510,9.04,7428.000,322598,366945,44347,12.09,124.000,5454,8778.000,394392,薬庫２,薬庫,,ﾗｸﾉ03,622654601,,内服,スズケン,0,0,0,0,0,0,1,3999001Q6029,ラクツロースゼリー
ストラテラカプセル２５ｍｇ H,170.70,167.71,411.000,カプセル,68929,70158,0.51,330.000,55344,56331,987,1.75,0.000,0,,,I-6-6,薬庫,,ｽﾄﾗ03,621926301,,内服,メディセオ,0,1,0,0,0,0,0,1179050M3026,アトモキセチン塩酸塩カプセル
バリキサ錠４５０ｍｇ B,2223.90,2047.82,32.000,錠,65530,71165,,,,,,,,,,,bara,薬庫,,ﾊﾘｷ01,620002413,,内服,,1,0,0,0,0,0,0,6250025F1026,バルガンシクロビル塩酸塩錠
ゼルヤンツ錠５ｍｇ H,2260.90,2298.07,28.000,錠,64346,63305,4.70,181.000,415951,409223,-6728,-1.64,0.000,0,160.000,367691,c-5-,薬庫,,ｾﾙﾔ01,622242601,,内服,ケーエスケー,0,1,0,0,0,0,0,3999034F1020,トファシチニブクエン酸塩錠
リオベル配合錠ＬＤ H,139.60,122.18,518.000,錠,63289,72313,0.91,361.000,44107,50395,6288,12.48,0.000,0,600.000,73308,A-9-1,薬庫,バラ,ﾘｵﾍ02,622086001,,内服,ケーエスケー,0,0,0,0,0,0,0,3969103F1024,アログリプチン安息香酸塩・ピオグリタゾン塩酸塩配合剤錠
エリキュース錠２．５ｍｇ H,117.50,99.02,638.000,錠,63175,74965,5.01,2740.000,271315,321950,50635,15.73,0.000,0,3200.000,325045,B-6-2,薬庫,,ｴﾘｷ01,622224901,,内服,アルフレッサ,0,0,0,0,0,0,0,3339004F1029,アピキサバン錠
イグザレルトＯＤ錠１０ｍｇ H,342.90,297.17,211.000,錠,62703,72352,13.04,2575.000,765213,882967,117754,13.34,0.000,0,2600.000,789568,B-7-4,薬庫,バラ,ｲｸｻ05,622829001,,内服,メディセオ,0,0,0,0,0,0,0,3339003F3027,リバーロキサバン口腔内崩壊錠
リーバクト配合顆粒　４．１５ｇ H,134.00,119.38,524.000,包,62555,70216,4.96,3185.000,380225,426790,46565,10.91,9.000,1042,2957.000,343864,h-6-,薬庫,,ﾘﾊｸ03,621560201,,内服,アルフレッサ,0,0,0,0,0,0,0,3253003D2031,イソロイシン・ロイシン・バリン顆粒
ネイリンカプセル１００ｍｇ H,814.80,710.63,84.000,カプセル,59693,68443,1.20,84.000,59693,68443,8750,12.78,0.000,0,112.000,79591,d-6-,薬庫,,ﾈｲﾘ01,622590001,,内服,アルフレッサ,0,0,0,0,0,0,0,6290007M1022,ホスラブコナゾール　Ｌ－リシンエタノール付加物カプセル
オゼンピック皮下注２ｍｇ　１．５ｍＬ B,10879.00,9746.00,6.000,キット,58476,65274,21.33,160.000,1559360,1740640,181280,10.41,1.000,10879,158.000,1539868,REI-2-,薬庫,,ｵｾﾝ07,629919801,,注射,アルフレッサ,0,1,0,0,0,0,0,2499418G4027,セマグルチド（遺伝子組換え）キット
イグザレルト錠１０ｍｇ H,342.90,305.23,189.000,錠,57688,64808,1.50,231.000,70508,79207,8699,10.98,0.000,0,300.000,91569,e-1-,薬庫,,ｲｸｻ01,622068301,,内服,メディセオ,0,0,0,0,0,0,0,3339003F1024,リバーロキサバン錠
ラベプラゾールＮａ錠１０ｍｇ「トーワ」 H,26.90,20.20,2812.000,錠,56802,75643,22.00,32742.000,661388,880769,219381,24.91,700.000,15379,37000.000,809350,H-4-4,薬庫,,ﾗﾍﾌ08,622012901,,内服,東和,0,0,0,0,0,0,1,2329028F1112,ラベプラゾールナトリウム腸溶錠
チガソンカプセル１０　１０ｍｇ H,361.80,335.34,169.000,カプセル,56672,61144,0.90,112.000,37558,40522,2964,7.31,0.000,0,200.000,67068,c-1-,薬庫,,ﾁｶｿ01,613990072,,内服,ケーエスケー,0,1,0,0,0,0,0,3119001M1020,エトレチナートカプセル
ベオーバ錠５０ｍｇ H,152.70,137.08,395.000,錠,54147,60317,32.14,2218.000,304043,338691,34648,10.23,0.000,0,2271.000,311308,j-1-,薬庫,,ﾍｵﾊ01,622653001,,内服,メディセオ,0,0,0,0,0,0,0,2590017F1025,ビベグロン錠
タクロリムスカプセル１ｍｇ「ＶＴＲＳ」 H,153.50,130.85,408.000,カプセル,53387,62628,16.97,5540.000,724909,850394,125485,14.76,83.000,11478,5700.000,783738,I-5-3,薬庫,バラ,ﾀｸﾛ68,622232303,,内服,メディセオ,0,1,0,0,0,0,1,3999014M1073,タクロリムス水和物カプセル
アミノレバンＥＮ配合散 H50.000,8.88,7.90,6750.000,ｇ,53325,59940,5.89,42550.000,336145,377844,41699,11.04,350.000,2765,42000.000,331800,薬庫５,薬庫,,ｱﾐﾉ61,620754701,,内服,ケーエスケー,0,0,0,0,0,0,0,3259108B1039,肝不全用成分栄養剤散
リクシアナＯＤ錠６０ｍｇ H,416.80,351.78,150.000,錠,52767,62520,40.59,2029.500,713938,845894,131956,15.60,30.000,10553,1960.000,689488,B-7-6,薬庫,,ﾘｸｼ06,622576201,,内服,ケーエスケー,0,0,0,0,0,0,0,3339002F6021,エドキサバントシル酸塩水和物口腔内崩壊錠
アテレック錠１０　１０ｍｇ H,27.10,25.75,2042.000,錠,52582,55338,0.89,1583.000,40762,42901,2139,4.99,0.000,0,3000.000,77250,C-3-3,薬庫,,ｱﾃﾚ01,610407148,,内服,ケーエスケー,0,0,0,0,0,0,0,2149037F2039,シルニジピン錠
エタネルセプトＢＳ皮下注２５ｍｇシリンジ０．５ｍＬ「ＭＡ」 B,6234.00,5542.75,9.000,筒,49885,56106,6.74,64.000,354736,398976,44240,11.09,1.000,6234,64.000,354736,REI-3-,薬庫,,ｴﾀﾈ03,622635001,,注射,ケーエスケー,0,1,0,0,0,0,1,3999448G1020,エタネルセプト（遺伝子組換え）キット
プラケニル錠２００ｍｇ H,402.40,349.35,140.000,錠,48909,56336,3.75,516.000,180265,207637,27372,13.18,5.000,2012,526.000,183957,d-5-,薬庫,,ﾌﾗｹ01,622440601,,内服,アルフレッサ,1,0,0,0,0,0,0,3999038F1029,ヒドロキシクロロキン硫酸塩錠
タリージェ錠５ｍｇ H,92.50,78.94,608.500,錠,48035,56286,4.75,2507.000,197903,231901,33998,14.66,130.000,10262,2800.000,221032,H-7-1,薬庫,,ﾀﾘｼ02,622669801,,内服,ケーエスケー,0,0,0,0,0,0,0,1190026F2024,ミロガバリンベシル酸塩錠
メラトベル顆粒小児用０．２％ B,207.70,185.00,259.500,ｇ,48008,53898,2.57,787.500,145688,163566,17878,10.93,0.000,0,700.000,129500,S-1,薬庫,,ﾒﾗﾄ01,622793601,,内服,メディセオ,0,0,0,0,0,0,0,1190028D1026,メラトニン顆粒
タケキャブ錠１０ｍｇ B,96.80,85.83,542.000,錠,46520,52466,3.37,2252.000,193289,217993,24704,11.33,0.000,0,2000.000,171656,bara,薬庫,,ﾀｹｷ011,622404401,,内服,メディセオ,0,0,0,0,0,0,0,2329030F1020,ボノプラザンフマル酸塩錠
ツインラインＮＦ配合経腸用液　 B,0.91,0.78,56800.000,ｍＬ,44304,51688,5.60,189200.000,147576,172172,24596,14.29,0.000,0,235200.000,182966,O- -,薬庫,,ﾂｲﾝ08,622071001,,内服,ケーエスケー,0,0,0,0,0,0,0,3259117S1020,経腸成分栄養剤液
サムスカＯＤ錠１５ｍｇ H,1295.50,1313.60,33.500,錠,44006,43399,10.51,331.000,434802,428811,-5991,-1.40,0.000,0,340.000,446624,c-5-,薬庫,,ｻﾑｽ06,622694401,,内服,ケーエスケー,0,1,0,0,0,0,0,2139011F4022,トルバプタン口腔内崩壊錠
リルゾール錠５０ｍｇ「ＡＡ」 H,420.10,405.09,108.000,錠,43750,45371,0.56,60.000,24305,25206,901,3.57,0.000,0,168.000,68055,d-3-,薬庫,,ﾘﾙｿ01,622266901,,内服,メディセオ,0,0,0,0,0,0,1,1190011F1030,リルゾール錠
リクシアナＯＤ錠３０ｍｇ H,411.30,347.14,126.000,錠,43740,51824,14.80,3937.000,1366690,1619291,252601,15.60,244.000,84703,3900.000,1353846,B-6-6,薬庫,バラ,ﾘｸｼ05,622576101,,内服,ケーエスケー,0,0,0,0,0,0,0,3339002F5025,エドキサバントシル酸塩水和物口腔内崩壊錠
ペンタサ顆粒９４％ H2.120,104.90,88.12,495.240,ｇ,43641,51951,1.91,1034.560,91165,108525,17360,16.00,135.680,12594,1484.000,136749,j-2-,薬庫,,ﾍﾝﾀ11,622442701,,内服,ケーエスケー,0,0,0,0,0,0,0,2399009D2020,メサラジン顆粒
クレナフィン爪外用液１０％ H3.560,1435.50,1278.96,32.040,ｇ,40978,45993,7.39,302.600,387013,434384,47371,10.91,0.000,0,284.800,373201,K,薬庫,,ｸﾚﾅ01,622365201,,外用,メディセオ,0,0,0,0,0,0,0,6290702Q1029,エフィナコナゾール液
エリキュース錠５ｍｇ H,212.30,178.91,228.000,錠,40791,48404,7.33,3748.000,670555,795702,125147,15.73,20.000,3694,3200.000,589912,B-7-2,薬庫,バラ,ｴﾘｷ02,622225001,,内服,アルフレッサ,0,0,0,0,0,0,0,3339004F2025,アピキサバン錠
トラゼンタ錠５ｍｇ H,122.00,105.22,384.500,錠,40457,46909,11.50,7203.000,757900,878766,120866,13.75,291.000,18460,7100.000,771678,A-8-3,薬庫,,ﾄﾗｾ01,622093501,,内服,メディセオ,0,0,0,0,0,0,0,3969014F1024,リナグリプチン錠
ビクトーザ皮下注１８ｍｇ　３ｍＬ B,8902.00,8027.00,5.000,キット,40135,44510,8.22,74.000,593998,658748,64750,9.83,0.000,0,66.000,529782,REI-2-,薬庫,,ﾋｸﾄ02,621974801,,注射,アルフレッサ,0,1,0,0,0,0,0,2499410G1021,リラグルチド（遺伝子組換え）キット
フォゼベル錠２０ｍｇ H,510.90,464.45,86.000,錠,39943,43937,,,,,,,,,86.000,39943,デッド,,,,622951401,,内服,,0,0,0,0,0,0,0,2190045F3028,テナパノル塩酸塩錠
アリセプトＤ錠５ｍｇ H,87.00,99.58,380.000,錠,37840,33060,0.25,109.000,10854,9483,-1371,-14.46,0.000,0,,,c-4-,薬庫,,ｱﾘｾ08,620001923,,内服,アルフレッサ,0,1,0,0,0,0,0,1190012F4025,ドネペジル塩酸塩口腔内崩壊錠
レベチラセタム錠５００ｍｇ「アメル」 H,46.00,36.00,1042.000,錠,37512,47932,6.86,4539.000,163404,208794,45390,21.74,0.000,0,5300.000,197250,J-1-3,薬庫,,ﾚﾍﾁ14,622879501,,内服,共和コーポレーション,0,0,0,0,0,0,1,1139010F2055,レベチラセタム錠
【ツ０４７】ツムラ釣藤散エキス顆粒（医療用） H2.500,34.70,31.54,1185.000,ｇ,37375,41120,0.74,735.000,23182,25505,2323,9.11,300.000,9462,1417.500,44715,薬庫１,薬庫,,ﾂﾑﾗ86,615101476,,内服,ケーエスケー,0,0,0,0,0,0,0,5200101D1030,釣藤散エキス顆粒
ペンタサ顆粒９４％ H1.060,104.90,92.82,402.640,ｇ,37373,42237,0.15,59.360,5510,6227,717,11.51,0.000,0,212.000,19678,j-2-,薬庫,,ﾍﾝﾀ112,622442701,,内服,ケーエスケー,0,0,0,0,0,0,0,2399009D2020,メサラジン顆粒
エクメット配合錠ＨＤ H,50.20,41.17,897.000,錠,36929,45029,9.27,7506.000,309022,376799,67777,17.99,119.000,4899,8050.000,364981,A-3-2,薬庫,,ｴｸﾒ01,622450401,,内服,スズケン,0,1,0,0,0,0,0,3969104F2025,ビルダグリプチン・メトホルミン塩酸塩配合剤錠
アジレクト錠１ｍｇ H,945.00,833.50,44.000,錠,36674,41580,1.49,70.000,58345,66150,7805,11.80,36.000,34020,100.000,83350,c-4-,薬庫,,ｱｼﾚ02,622624401,,内服,ケーエスケー,0,1,0,0,0,0,0,1169017F2021,ラサギリンメシル酸塩錠
ノベルジン錠５０ｍｇ H,321.60,321.66,113.000,錠,36348,36341,5.29,386.000,124161,124138,-23,-0.02,52.000,16726,518.000,166612,c-2-,薬庫,,ﾉﾍﾙ05,622389101,,内服,メディセオ,0,1,0,0,0,0,0,3929007F2025,酢酸亜鉛水和物錠
モビコール配合内用剤ＬＤ　６．８５２３ｇ H,65.70,55.85,640.000,包,35744,42048,6.86,4191.000,234067,275353,41286,14.99,151.000,9151,4400.000,264740,h-5-,薬庫,,ﾓﾋｺ02,622832901,,内服,ケーエスケー,0,0,0,0,0,0,0,2359110B1037,マクロゴール４０００・塩化ナトリウム・炭酸水素ナトリウム・塩化カリウム配合剤散
タペンタ錠１００ｍｇ H,399.00,399.00,89.000,錠,35511,35511,,,,,,,,,,,麻薬,薬庫,,ﾀﾍﾝ03,622350701,2025/03/31,内服,,0,1,1,0,0,0,0,8219003G3027,タペンタドール塩酸塩徐放錠
イーケプラ錠２５０ｍｇ H,76.10,69.29,511.000,錠,35407,38887,0.00,0.000,0,0,0,0.00,0.000,0,,,e-1-,薬庫,,ｲｹﾌ01,621997401,,内服,スズケン,0,0,0,0,0,0,0,1139010F1024,レベチラセタム錠
テリルジー２００エリプタ３０吸入用 H,10043.30,8758.00,4.000,キット,35032,40173,4.67,14.000,122612,140606,17994,12.80,1.000,10043,17.000,148886,b-2-,薬庫,,ﾃﾘﾙ04,622840301,,外用,アルフレッサ,0,0,0,0,0,0,0,2290804G4021,フルチカゾンフランカルボン酸エステル・ウメクリジニウム臭化物・ビランテロールトリフェニル酢酸塩吸入剤
エクメット配合錠ＬＤ H,51.00,41.82,833.000,錠,34836,42483,3.96,3668.000,153396,187068,33672,18.00,20.000,943,3500.000,162831,A-1-2,薬庫,,ｴｸﾒ02,622450301,,内服,スズケン,0,1,0,0,0,0,0,3969104F1029,ビルダグリプチン・メトホルミン塩酸塩配合剤錠
アミティーザカプセル２４μｇ H,100.00,89.25,389.000,カプセル,34718,38900,4.16,994.000,88715,99400,10685,10.75,0.000,0,1292.000,115311,j-6-,薬庫,,ｱﾐﾃ01,622182901,,内服,ケーエスケー,0,0,0,0,0,0,0,2359006M1025,ルビプロストンカプセル
ポリスチレンスルホン酸Ｃａ経口ゼリー２０％分包２５ｇ「三和」 H,77.80,67.90,510.000,個,34629,39678,5.14,2774.000,188355,215816,27461,12.72,105.000,7419,2820.000,198384,薬庫２,薬庫,,ﾎﾘｽ09,621261102,,内服,スズケン,0,0,0,0,0,0,1,2190016Q2034,ポリスチレンスルホン酸カルシウムゼリー
ミネブロ錠２．５ｍｇ H,91.60,79.54,432.000,錠,34361,39571,37.94,4468.000,355385,409266,53881,13.17,0.000,0,4700.000,373918,C-6-3,薬庫,バラ,ﾐﾈﾌ02,622670201,,内服,ケーエスケー,0,0,0,0,0,0,0,2149049F2023,エサキセレノン錠
サムスカＯＤ錠３０ｍｇ H,2355.70,2130.10,16.000,錠,34082,37691,47.91,527.000,1122563,1241455,118892,9.58,0.000,0,550.000,1171555,c-5-,薬庫,,ｻﾑｽ07,622694501,,内服,ケーエスケー,0,1,0,0,0,0,0,2499012F2029,トルバプタン口腔内崩壊錠
トラゼンタ錠５ｍｇ B,122.00,105.22,323.000,錠,33986,39406,10.57,4506.000,474121,549732,75611,13.75,0.000,0,4191.000,454078,bara,薬庫,,ﾄﾗｾ011,622093501,,内服,メディセオ,0,0,0,0,0,0,0,3969014F1024,リナグリプチン錠
エンレスト錠１００ｍｇ H,97.20,85.82,394.000,錠,33813,38297,8.02,2967.000,254628,288395,33767,11.71,659.500,56599,3570.000,306377,C-1-5,薬庫,,ｴﾝﾚ02,622821001,,内服,スズケン,0,0,0,0,0,0,0,2190041F2023,サクビトリルバルサルタンナトリウム水和物錠
ヤーズフレックス配合錠 H,280.10,240.99,140.000,錠,33739,39214,3.56,448.000,107964,125484,17520,13.96,0.000,0,476.000,114710,c-6-,薬庫,,ﾔｽﾌ01,622534101,,内服,メディセオ,0,0,0,0,0,0,0,2482011F2027,ドロスピレノン・エチニルエストラジオール　ベータデクス錠
ミニリンメルトＯＤ錠１２０μｇ H,132.90,124.39,271.000,錠,33710,36016,0.75,207.000,25749,27510,1761,6.40,0.000,0,200.000,24878,j-1-,薬庫,,ﾐﾆﾘ01,622134801,,内服,スズケン,0,1,0,0,0,0,0,2419001F1023,デスモプレシン酢酸塩水和物口腔内崩壊錠
オルケディア錠２ｍｇ H,398.90,348.65,96.000,錠,33470,38294,1.29,168.000,58573,67016,8443,12.60,0.000,0,100.000,34865,f-1-,薬庫,,ｵﾙｹ02,622633501,,内服,ケーエスケー,0,1,0,0,0,0,0,3999044F2020,エボカルセト錠
グラクティブ錠１００ｍｇ H,167.20,142.09,235.500,錠,33462,39376,5.22,1667.500,236935,278808,41873,15.02,0.000,0,1500.000,213132,A-6-2,薬庫,バラ,ｸﾗｸ03,621970801,,内服,ケーエスケー,0,0,0,0,0,0,0,3969010F3029,シタグリプチンリン酸塩水和物錠
トピナ細粒１０％ B,124.70,120.49,273.000,ｇ,32894,34043,0.53,198.000,23857,24691,834,3.38,0.000,0,,,S-1,薬庫,,ﾄﾋﾅ04,622335301,,内服,メディセオ,0,0,0,0,0,0,0,1139008C1020,トピラマート細粒
ロスーゼット配合錠ＨＤ H,75.30,113.23,290.000,錠,32837,21837,1.07,310.000,35101,23343,-11758,-50.37,0.000,0,600.000,67938,d-3-,薬庫,,ﾛｽｾ01,622676701,,内服,ケーエスケー,0,0,0,0,0,0,0,2189102F2020,エゼチミブ・ロスバスタチンカルシウム配合剤錠
イグザレルト錠１５ｍｇ H,476.40,424.50,77.000,錠,32687,36683,1.22,84.000,35658,40018,4360,10.90,0.000,0,100.000,42450,e-1-,薬庫,,ｲｸｻ02,622068401,,内服,メディセオ,0,0,0,0,0,0,0,3339003F2020,リバーロキサバン錠
トルバプタンＯＤ錠７．５ｍｇ「ＴＥ」 H,361.00,263.53,123.000,錠,32414,44403,6.90,1219.500,321375,440241,118866,27.00,1.000,290,1113.000,319346,I-5-6,薬庫,,ﾄﾙﾊ05,622915601,,内服,メディセオ,0,1,0,0,0,0,1,2139011F3042,トルバプタン口腔内崩壊錠
スーグラ錠５０ｍｇ H,170.40,151.43,213.000,錠,32255,36295,5.69,885.000,134016,150803,16787,11.13,0.000,0,1000.000,151430,a-3-,薬庫,,ｽｸﾗ09,622306701,,内服,スズケン,0,0,0,0,0,0,0,3969018F2029,イプラグリフロジン　Ｌ－プロリン錠
ダーブロック錠６ｍｇ H,397.80,344.77,93.000,錠,32064,36995,0.99,84.000,28961,33414,4453,13.33,0.000,0,100.000,34477,c-1-,薬庫,,ﾀﾌﾛ06,622819401,,内服,アルフレッサ,0,1,0,0,0,0,0,3999049F4026,ダプロデュスタット錠
モーラステープＬ４０ｍｇ　１０ｃｍ×１４ｃｍ H7.000,28.60,24.48,1274.000,枚,31188,36436,17.16,12971.000,317530,370975,53445,14.41,273.000,6889,14280.000,369513,ﾌﾟﾘﾝﾀ上,薬庫,,ﾓﾗｽ09,620007804,,外用,メディセオ,0,0,0,0,0,0,0,2649729S3084,ケトプロフェン貼付剤
コンサータ錠１８ｍｇ H,235.80,292.87,106.000,錠,31044,24995,0.72,120.000,35144,28296,-6848,-24.20,0.000,0,,,d-1-,薬庫,,ｺﾝｻ01,620005888,,内服,アルフレッサ,0,1,0,1,0,0,0,1179009G1022,メチルフェニデート塩酸塩徐放錠
アメナリーフ錠２００ｍｇ H,1177.50,1012.57,30.000,錠,30377,35325,6.13,98.000,99232,115395,16163,14.01,0.000,0,126.000,130776,D-3-1,薬庫,,ｱﾒﾅ01,622573501,,内服,アルフレッサ,0,0,0,0,0,0,0,6250046F1028,アメナメビル錠
